         ps       /tl_tb/tb_dut/x_servo                     /tl_tb/tb_dut/z_servo      
          delta                        /tl_tb/tb_dut/y_servo                           
 3775060700  +4    00010001111100000001 00010100000100110110 00001001110001000000 
 3787560900  +4    00010010000011111101 00010100000110100100 00001001110001000000 
 3800061100  +4    00010010001011111010 00010100001000010010 00001001110001000000 
 3812561300  +4    00010010010011110110 00010100001010000001 00001001110001000000 
 3825061500  +4    00010010011011110010 00010100001011101111 00001001110001000000 
 3837561700  +4    00010010100011101111 00010100001101011101 00001001110001000000 
 3850061900  +4    00010010101011101011 00010100001111001011 00001001110001000000 
 3862562100  +4    00010010110011100111 00010100010000111001 00001001110001000000 
 3875062300  +4    00010010111011100100 00010100010010101000 00001001110001000000 
 3887562500  +4    00010011000011100000 00010100010100010110 00001001110001000000 
 3900062700  +4    00010011001011011100 00010100010110000100 00001001110001000000 
 3912562900  +4    00010011010011011001 00010100010111110010 00001001110001000000 
 3925063100  +4    00010011011011010101 00010100011001100000 00001001110001000000 
 3937563300  +4    00010011100011010001 00010100011011001110 00001001110001000000 
 3950063500  +4    00010011101011001110 00010100011100111101 00001001110001000000 
 3962563700  +4    00010011101101110100 00010100011100101100 00001001110001000000 
 3975063900  +4    00010011110000011011 00010100011100011011 00001001110001000000 
 3987564100  +4    00010011110011000010 00010100011100001010 00001001110001000000 
 4000064300  +4    00010011110101101001 00010100011011111001 00001001110001000000 
 4012564500  +4    00010011111000010000 00010100011011101000 00001001110001000000 
 4025064700  +4    00010011111010110111 00010100011011010111 00001001110001000000 
 4037564900  +4    00010011111101011110 00010100011011000110 00001001110001000000 
 4050065100  +4    00010100000000000101 00010100011010110101 00001001110001000000 
 4062565300  +4    00010100000010101011 00010100011010100100 00001001110001000000 
 4075065500  +4    00010100000101010010 00010100011010010011 00001001110001000000 
 4087565700  +4    00010100000111111001 00010100011010000010 00001001110001000000 
 4100065900  +4    00010100001010100000 00010100011001110001 00001001110001000000 
 4112566100  +4    00010100001101000111 00010100011001100000 00001001110001000000 
 4125066300  +4    00010100001111101110 00010100011001010000 00001001110001000000 
 4137566500  +4    00010100010010010101 00010100011000111111 00001001110001000000 
 4150066700  +4    00010100010100111100 00010100011000101111 00001001110001000000 
 4162566900  +4    00010100010111100100 00010100011000011110 00001001110001000000 
 4175067100  +4    00010100011010001100 00010100011000001110 00001001110001000000 
 4187567300  +4    00010100011100110100 00010100010111111110 00001001110001000000 
 4200067500  +4    00010100011111011011 00010100010111101110 00001001110001000000 
 4212567700  +4    00010100100010000011 00010100010111011110 00001001110001000000 
 4225067900  +4    00010100100100101011 00010100010111001110 00001001110001000000 
 4237568100  +4    00010100100111010011 00010100010110111110 00001001110001000000 
 4250068300  +4    00010100101001111010 00010100010110101110 00001001110001000000 
 4262568500  +4    00010100101100100010 00010100010110011110 00001001110001000000 
 4275068700  +4    00010100101111001010 00010100010110001110 00001001110001000000 
 4287568900  +4    00010100110001110010 00010100010101111110 00001001110001000000 
 4300069100  +4    00010100110100011001 00010100010101101110 00001001110001000000 
 4312569300  +4    00010100110111000001 00010100010101011110 00001001110001000000 
 4325069500  +4    00010100111001101001 00010100010101001110 00001001110001000000 
 4337569700  +4    00010100111100010001 00010100010100111110 00001001110001000000 
 4350069900  +4    00010100111110111010 00010100010100101111 00001001110001000000 
 4362570100  +4    00010101000001100010 00010100010100100000 00001001110001000000 
 4375070300  +4    00010101000100001011 00010100010100010001 00001001110001000000 
 4387570500  +4    00010101000110110011 00010100010100000010 00001001110001000000 
 4400070700  +4    00010101001001011100 00010100010011110011 00001001110001000000 
 4412570900  +4    00010101001100000100 00010100010011100011 00001001110001000000 
 4425071100  +4    00010101001110101101 00010100010011010100 00001001110001000000 
 4437571300  +4    00010101010001010101 00010100010011000101 00001001110001000000 
 4450071500  +4    00010101010011111110 00010100010010110110 00001001110001000000 
 4462571700  +4    00010101010110100110 00010100010010100111 00001001110001000000 
 4475071900  +4    00010101011001001111 00010100010010010111 00001001110001000000 
 4487572100  +4    00010101011011110111 00010100010010001000 00001001110001000000 
 4500072300  +4    00010101011110100000 00010100010001111001 00001001110001000000 
 4512572500  +4    00010101100001001000 00010100010001101010 00001001110001000000 
 4525072700  +4    00010101100011110010 00010100010001011011 00001001110001000000 
 4537572900  +4    00010101100110011011 00010100010001001101 00001001110001000000 
 4550073100  +4    00010101101001000100 00010100010000111111 00001001110001000000 
 4562573300  +4    00010101101011101101 00010100010000110000 00001001110001000000 
 4575073500  +4    00010101101110010111 00010100010000100010 00001001110001000000 
 4587573700  +4    00010101110001000000 00010100010000010011 00001001110001000000 
 4600073900  +4    00010101110011101001 00010100010000000101 00001001110001000000 
 4612574100  +4    00010101110110010010 00010100001111110110 00001001110001000000 
 4625074300  +4    00010101111000111100 00010100001111101000 00001001110001000000 
 4637574500  +4    00010101111011100101 00010100001111011001 00001001110001000000 
 4650074700  +4    00010101111110001110 00010100001111001011 00001001110001000000 
 4662574900  +4    00010110000000110111 00010100001110111101 00001001110001000000 
 4675075100  +4    00010110000011100001 00010100001110101110 00001001110001000000 
 4687575300  +4    00010110000110001010 00010100001110100000 00001001110001000000 
 4700075500  +4    00010110001000110011 00010100001110010001 00001001110001000000 
 4712575700  +4    00010110000001001010 00010100001100101010 00001001110001000000 
 4725075900  +4    00010101111001100010 00010100001011000011 00001001110001000000 
 4737576100  +4    00010101110001111001 00010100001001011100 00001001110001000000 
 4750076300  +4    00010101101010010000 00010100000111110101 00001001110001000000 
 4762576500  +4    00010101100010101000 00010100000110001110 00001001110001000000 
 4775076700  +4    00010101011010111111 00010100000100100111 00001001110001000000 
 4787576900  +4    00010101010011010110 00010100000011000000 00001001110001000000 
 4800077100  +4    00010101001011101110 00010100000001011001 00001001110001000000 
 4812577300  +4    00010101000100000101 00010011111111110010 00001001110001000000 
 4825077500  +4    00010100111100011100 00010011111110001011 00001001110001000000 
 4837577700  +4    00010100110100110100 00010011111100100100 00001001110001000000 
 4850077900  +4    00010100101101001011 00010011111010111101 00001001110001000000 
 4862578100  +4    00010100100101100010 00010011111001010101 00001001110001000000 
 4875078300  +4    00010100011101111010 00010011110111101110 00001001110001000000 
 4887578500  +4    00010100010110010001 00010011110110000111 00001001110001000000 
 4900078700  +4    00010100001111001111 00010011110100001111 00001001110001000000 
 4912578900  +4    00010100001000001110 00010011110010010111 00001001110001000000 
 4925079100  +4    00010100000001001101 00010011110000011111 00001001110001000000 
 4937579300  +4    00010011111010001011 00010011101110100111 00001001110001000000 
 4950079500  +4    00010011110011001010 00010011101100101111 00001001110001000000 
 4962579700  +4    00010011101100001001 00010011101010110111 00001001110001000000 
 4975079900  +4    00010011100101000111 00010011101000111110 00001001110001000000 
 4987580100  +4    00010011011110000110 00010011100111000110 00001001110001000000 
 5000080300  +4    00010011010111000100 00010011100101001110 00001001110001000000 
 5012580500  +4    00010011010000000011 00010011100011010110 00001001110001000000 
 5025080700  +4    00010011001001000010 00010011100001011110 00001001110001000000 
 5037580900  +4    00010011000010000000 00010011011111100110 00001001110001000000 
